BillingInfoNode;DeliveryAddressNode;ProcessReservationNode;SelectModeOfReciptNode;PaymentInfoNode;ProcessPaymentNode;TravelInfoNode
660.0;777.0;373.0;381.0;805.0;772.0;184.0
554.0;0;137.0;727.0;89.0;7.0;960.0
593.0;0;384.0;588.0;353.0;613.0;570.0
560.0;35.0;112.0;891.0;54.0;222.0;388.0
105.0;0;886.0;309.0;179.0;434.0;964.0
994.0;682.0;300.0;134.0;34.0;123.0;570.0
927.0;0;835.0;547.0;746.0;218.0;286.0
163.0;704.0;642.0;788.0;811.0;155.0;981.0
964.0;0;667.0;838.0;215.0;64.0;602.0
909.0;790.0;552.0;617.0;478.0;223.0;160.0
301.0;719.0;774.0;693.0;636.0;553.0;473.0
490.0;542.0;57.0;793.0;908.0;706.0;13.0
577.0;0;318.0;819.0;269.0;788.0;904.0
956.0;0;10.0;234.0;303.0;8.0;213.0
2.0;0;642.0;347.0;168.0;549.0;833.0
175.0;539.0;16.0;515.0;300.0;44.0;247.0
345.0;0;228.0;334.0;563.0;523.0;442.0
117.0;58.0;24.0;233.0;352.0;861.0;402.0
48.0;219.0;428.0;725.0;1.0;749.0;352.0
507.0;554.0;65.0;371.0;343.0;705.0;42.0
368.0;0;368.0;695.0;391.0;689.0;105.0
618.0;504.0;10.0;896.0;612.0;638.0;769.0
667.0;660.0;140.0;483.0;611.0;497.0;700.0
315.0;995.0;224.0;336.0;822.0;8.0;829.0
657.0;0;595.0;337.0;896.0;856.0;985.0
909.0;0;39.0;413.0;414.0;157.0;916.0
291.0;0;420.0;982.0;805.0;199.0;141.0
71.0;429.0;776.0;400.0;424.0;167.0;323.0
758.0;0;687.0;594.0;142.0;330.0;645.0
843.0;0;501.0;524.0;253.0;549.0;506.0
282.0;231.0;812.0;96.0;126.0;753.0;200.0
771.0;0;909.0;9.0;541.0;568.0;154.0
201.0;0;112.0;47.0;957.0;873.0;119.0
72.0;0;288.0;30.0;130.0;369.0;846.0
958.0;751.0;264.0;559.0;165.0;212.0;111.0
628.0;31.0;752.0;120.0;485.0;432.0;397.0
548.0;0;9.0;812.0;704.0;353.0;225.0
418.0;0;201.0;283.0;985.0;598.0;243.0
500.0;950.0;866.0;625.0;917.0;192.0;127.0
127.0;3.0;927.0;845.0;608.0;931.0;157.0
843.0;205.0;9.0;659.0;633.0;294.0;616.0
36.0;939.0;230.0;648.0;911.0;788.0;574.0
77.0;525.0;369.0;493.0;805.0;305.0;334.0
351.0;0;988.0;641.0;284.0;583.0;315.0
460.0;0;726.0;835.0;823.0;357.0;470.0
572.0;203.0;224.0;81.0;641.0;161.0;747.0
432.0;574.0;374.0;142.0;53.0;408.0;964.0
691.0;96.0;651.0;637.0;449.0;54.0;996.0
441.0;0;647.0;888.0;418.0;118.0;538.0
532.0;0;446.0;697.0;976.0;784.0;920.0
747.0;0;658.0;360.0;902.0;556.0;797.0
493.0;381.0;124.0;653.0;335.0;309.0;550.0
79.0;685.0;147.0;700.0;775.0;479.0;502.0
725.0;932.0;242.0;112.0;217.0;243.0;822.0
885.0;0;149.0;874.0;678.0;653.0;695.0
204.0;0;949.0;922.0;706.0;946.0;98.0
925.0;448.0;617.0;630.0;695.0;819.0;245.0
529.0;920.0;9.0;439.0;997.0;898.0;77.0
563.0;933.0;680.0;626.0;611.0;107.0;303.0
210.0;0;471.0;290.0;622.0;144.0;223.0
128.0;0;320.0;171.0;777.0;722.0;999.0
753.0;643.0;652.0;439.0;693.0;347.0;791.0
336.0;34.0;668.0;51.0;809.0;161.0;186.0
214.0;0;667.0;733.0;413.0;876.0;222.0
643.0;891.0;924.0;329.0;205.0;796.0;18.0
66.0;561.0;908.0;498.0;210.0;534.0;773.0
65.0;654.0;756.0;166.0;311.0;865.0;827.0
664.0;831.0;851.0;344.0;418.0;889.0;317.0
526.0;899.0;731.0;18.0;97.0;668.0;855.0
127.0;90.0;189.0;701.0;646.0;544.0;229.0
53.0;0;232.0;260.0;218.0;177.0;440.0
942.0;198.0;413.0;109.0;561.0;167.0;795.0
68.0;0;601.0;254.0;964.0;152.0;270.0
931.0;688.0;240.0;973.0;843.0;831.0;221.0
35.0;94.0;788.0;392.0;716.0;318.0;361.0
591.0;728.0;936.0;753.0;101.0;148.0;994.0
664.0;325.0;606.0;445.0;687.0;497.0;774.0
62.0;0;798.0;412.0;97.0;550.0;594.0
226.0;405.0;613.0;827.0;688.0;778.0;782.0
443.0;0;70.0;685.0;838.0;983.0;562.0
122.0;0;211.0;129.0;576.0;85.0;597.0
606.0;0;640.0;446.0;152.0;0.0;161.0
395.0;832.0;681.0;609.0;870.0;917.0;572.0
126.0;468.0;885.0;149.0;854.0;150.0;193.0
409.0;233.0;106.0;244.0;50.0;471.0;169.0
976.0;35.0;556.0;667.0;855.0;65.0;638.0
108.0;971.0;26.0;616.0;280.0;480.0;996.0
223.0;0;994.0;309.0;466.0;970.0;761.0
992.0;352.0;92.0;232.0;795.0;248.0;833.0
654.0;0;152.0;871.0;542.0;914.0;523.0
553.0;686.0;38.0;594.0;116.0;746.0;455.0
594.0;597.0;719.0;796.0;748.0;972.0;618.0
433.0;0;563.0;190.0;18.0;336.0;682.0
456.0;8.0;906.0;649.0;544.0;470.0;656.0
479.0;600.0;795.0;498.0;877.0;81.0;466.0
984.0;16.0;844.0;42.0;482.0;886.0;495.0
425.0;535.0;293.0;546.0;231.0;220.0;154.0
804.0;591.0;876.0;231.0;867.0;208.0;305.0
76.0;996.0;525.0;258.0;769.0;553.0;242.0
805.0;0;472.0;666.0;133.0;565.0;845.0
38.0;876.0;984.0;317.0;681.0;696.0;331.0
957.0;767.0;950.0;916.0;145.0;409.0;221.0
344.0;0;409.0;286.0;850.0;704.0;237.0
199.0;0;191.0;453.0;153.0;315.0;148.0
917.0;382.0;977.0;641.0;449.0;740.0;436.0
763.0;52.0;532.0;195.0;709.0;886.0;466.0
656.0;171.0;650.0;839.0;361.0;111.0;149.0
244.0;424.0;110.0;675.0;580.0;7.0;298.0
46.0;0;943.0;507.0;433.0;878.0;466.0
113.0;0;452.0;29.0;786.0;153.0;718.0
663.0;170.0;727.0;923.0;348.0;896.0;385.0
548.0;0;588.0;376.0;511.0;932.0;581.0
522.0;0;464.0;107.0;869.0;109.0;822.0
644.0;0;598.0;233.0;953.0;813.0;609.0
458.0;192.0;925.0;669.0;681.0;529.0;865.0
886.0;23.0;958.0;160.0;125.0;680.0;431.0
659.0;0;114.0;94.0;414.0;83.0;347.0
759.0;0;918.0;741.0;843.0;72.0;758.0
295.0;11.0;381.0;466.0;237.0;3.0;358.0
316.0;294.0;349.0;482.0;636.0;443.0;7.0
140.0;21.0;820.0;102.0;823.0;991.0;7.0
262.0;0;824.0;688.0;302.0;787.0;400.0
362.0;696.0;621.0;659.0;291.0;96.0;587.0
636.0;303.0;248.0;330.0;622.0;575.0;913.0
72.0;0;377.0;467.0;299.0;525.0;596.0
248.0;0;180.0;834.0;170.0;840.0;385.0
682.0;953.0;438.0;881.0;423.0;502.0;28.0
750.0;956.0;210.0;647.0;75.0;301.0;343.0
792.0;21.0;211.0;367.0;890.0;499.0;169.0
310.0;0;830.0;661.0;409.0;482.0;582.0
365.0;850.0;292.0;196.0;133.0;13.0;938.0
124.0;0;632.0;449.0;806.0;195.0;312.0
60.0;81.0;35.0;645.0;460.0;248.0;353.0
940.0;0;210.0;805.0;978.0;125.0;94.0
34.0;0;729.0;376.0;769.0;252.0;833.0
714.0;0;427.0;280.0;225.0;611.0;599.0
499.0;267.0;873.0;878.0;78.0;939.0;448.0
370.0;0;515.0;569.0;730.0;501.0;265.0
210.0;872.0;994.0;66.0;69.0;266.0;718.0
979.0;540.0;693.0;622.0;194.0;799.0;304.0
385.0;0;671.0;700.0;671.0;366.0;30.0
564.0;0;392.0;779.0;214.0;987.0;566.0
617.0;0;958.0;118.0;737.0;928.0;527.0
229.0;0;562.0;946.0;415.0;346.0;859.0
849.0;58.0;10.0;218.0;269.0;35.0;97.0
900.0;0;136.0;357.0;824.0;401.0;316.0
372.0;0;987.0;539.0;206.0;227.0;441.0
441.0;0;990.0;551.0;581.0;407.0;42.0
243.0;0;132.0;707.0;989.0;808.0;11.0
919.0;885.0;98.0;813.0;205.0;222.0;786.0
40.0;262.0;971.0;379.0;947.0;665.0;488.0
990.0;0;484.0;482.0;212.0;278.0;487.0
447.0;924.0;877.0;857.0;278.0;928.0;133.0
450.0;0;244.0;103.0;663.0;56.0;266.0
558.0;669.0;739.0;1.0;477.0;562.0;607.0
360.0;240.0;796.0;1.0;790.0;645.0;631.0
705.0;0;578.0;721.0;962.0;240.0;774.0
995.0;264.0;620.0;605.0;326.0;95.0;351.0
431.0;0;757.0;733.0;802.0;302.0;684.0
871.0;523.0;198.0;640.0;865.0;275.0;187.0
631.0;951.0;557.0;218.0;349.0;218.0;989.0
37.0;373.0;505.0;127.0;389.0;145.0;192.0
820.0;0;172.0;142.0;919.0;218.0;143.0
967.0;983.0;114.0;461.0;241.0;501.0;749.0
110.0;33.0;115.0;857.0;946.0;889.0;727.0
544.0;0;443.0;655.0;894.0;98.0;373.0
987.0;891.0;904.0;613.0;266.0;751.0;119.0
715.0;295.0;675.0;75.0;833.0;831.0;919.0
688.0;0;440.0;384.0;628.0;298.0;413.0
68.0;0;338.0;416.0;687.0;611.0;142.0
432.0;0;501.0;609.0;262.0;716.0;249.0
632.0;458.0;947.0;216.0;719.0;574.0;414.0
120.0;0;769.0;387.0;494.0;250.0;373.0
808.0;0;592.0;889.0;122.0;502.0;123.0
671.0;711.0;834.0;209.0;729.0;234.0;686.0
453.0;0;776.0;351.0;225.0;760.0;486.0
201.0;223.0;229.0;957.0;9.0;551.0;827.0
962.0;755.0;933.0;345.0;795.0;237.0;934.0
198.0;0;692.0;231.0;93.0;969.0;15.0
84.0;0;57.0;472.0;493.0;181.0;776.0
645.0;0;367.0;210.0;702.0;392.0;323.0
277.0;186.0;653.0;217.0;218.0;0.0;221.0
442.0;0;346.0;692.0;419.0;558.0;296.0
744.0;497.0;404.0;574.0;597.0;31.0;167.0
102.0;0;276.0;694.0;498.0;40.0;646.0
111.0;733.0;731.0;269.0;575.0;953.0;443.0
352.0;0;651.0;725.0;278.0;348.0;726.0
244.0;0;281.0;785.0;831.0;944.0;592.0
489.0;380.0;539.0;619.0;942.0;971.0;911.0
514.0;52.0;307.0;221.0;746.0;219.0;366.0
63.0;916.0;39.0;339.0;592.0;796.0;6.0
396.0;0;825.0;383.0;817.0;699.0;470.0
708.0;0;24.0;685.0;792.0;757.0;217.0
534.0;523.0;214.0;253.0;992.0;177.0;931.0
775.0;0;458.0;499.0;686.0;600.0;916.0
563.0;299.0;591.0;796.0;601.0;681.0;805.0
475.0;0;629.0;170.0;413.0;243.0;471.0
412.0;381.0;914.0;676.0;575.0;491.0;645.0
21.0;0;999.0;229.0;26.0;6.0;508.0
970.0;292.0;495.0;513.0;598.0;845.0;887.0
947.0;0;729.0;205.0;438.0;800.0;911.0
224.0;233.0;496.0;547.0;258.0;440.0;349.0
92.0;693.0;274.0;117.0;851.0;98.0;801.0
987.0;842.0;747.0;411.0;209.0;265.0;843.0
272.0;473.0;871.0;524.0;620.0;968.0;52.0
964.0;0;326.0;154.0;929.0;136.0;708.0
33.0;0;465.0;309.0;815.0;829.0;920.0
838.0;605.0;219.0;64.0;348.0;768.0;483.0
124.0;855.0;398.0;71.0;274.0;757.0;286.0
715.0;0;29.0;554.0;309.0;899.0;643.0
828.0;637.0;603.0;439.0;490.0;495.0;64.0
191.0;0;287.0;810.0;99.0;646.0;716.0
184.0;0;49.0;423.0;816.0;790.0;680.0
152.0;0;802.0;462.0;887.0;257.0;803.0
834.0;0;147.0;538.0;72.0;336.0;400.0
460.0;51.0;913.0;4.0;267.0;1.0;89.0
530.0;945.0;33.0;486.0;388.0;920.0;126.0
231.0;780.0;736.0;303.0;799.0;155.0;145.0
88.0;423.0;482.0;244.0;612.0;755.0;276.0
186.0;931.0;829.0;972.0;315.0;833.0;152.0
54.0;645.0;715.0;400.0;971.0;967.0;377.0
354.0;0;93.0;436.0;80.0;118.0;593.0
786.0;474.0;57.0;861.0;96.0;912.0;862.0
184.0;0;170.0;185.0;94.0;475.0;478.0
491.0;71.0;875.0;27.0;154.0;498.0;201.0
109.0;801.0;40.0;450.0;338.0;862.0;483.0
359.0;286.0;290.0;716.0;447.0;368.0;933.0
454.0;895.0;572.0;413.0;450.0;342.0;670.0
340.0;846.0;559.0;907.0;815.0;701.0;478.0
961.0;227.0;590.0;133.0;648.0;560.0;939.0
676.0;402.0;86.0;766.0;364.0;656.0;885.0
910.0;645.0;309.0;682.0;431.0;414.0;76.0
332.0;510.0;595.0;338.0;941.0;729.0;946.0
490.0;599.0;234.0;349.0;749.0;727.0;474.0
436.0;0;610.0;521.0;426.0;953.0;562.0
930.0;140.0;968.0;818.0;384.0;130.0;120.0
837.0;0;238.0;580.0;267.0;284.0;22.0
397.0;372.0;245.0;229.0;651.0;273.0;459.0
584.0;795.0;120.0;883.0;647.0;833.0;602.0
491.0;0;27.0;334.0;577.0;894.0;542.0
193.0;86.0;158.0;469.0;676.0;965.0;512.0
271.0;120.0;702.0;622.0;165.0;438.0;224.0
346.0;0;378.0;83.0;284.0;909.0;919.0
76.0;0;679.0;890.0;181.0;566.0;899.0
882.0;338.0;828.0;999.0;638.0;587.0;22.0
551.0;0;276.0;849.0;657.0;163.0;306.0
481.0;0;693.0;230.0;368.0;807.0;381.0
27.0;968.0;546.0;145.0;278.0;721.0;594.0
318.0;661.0;20.0;486.0;453.0;580.0;169.0
281.0;229.0;262.0;243.0;535.0;946.0;430.0
557.0;793.0;271.0;370.0;988.0;382.0;430.0
561.0;0;83.0;326.0;836.0;924.0;556.0
623.0;908.0;642.0;547.0;202.0;489.0;817.0
839.0;0;407.0;891.0;105.0;795.0;661.0
839.0;391.0;202.0;751.0;675.0;605.0;447.0
313.0;232.0;235.0;960.0;632.0;659.0;533.0
418.0;906.0;923.0;35.0;635.0;399.0;841.0
312.0;460.0;798.0;213.0;505.0;660.0;565.0
864.0;0;720.0;392.0;414.0;580.0;751.0
802.0;0;823.0;834.0;889.0;576.0;83.0
979.0;0;431.0;40.0;609.0;838.0;127.0
447.0;0;474.0;505.0;50.0;874.0;923.0
530.0;376.0;371.0;817.0;709.0;603.0;836.0
574.0;93.0;762.0;604.0;320.0;790.0;898.0
822.0;0;766.0;967.0;797.0;991.0;554.0
487.0;0;599.0;330.0;452.0;400.0;490.0
396.0;887.0;939.0;993.0;499.0;519.0;561.0
546.0;116.0;906.0;173.0;452.0;127.0;227.0
196.0;285.0;519.0;688.0;17.0;21.0;872.0
518.0;211.0;1.0;682.0;180.0;769.0;764.0
770.0;335.0;59.0;431.0;247.0;923.0;16.0
360.0;866.0;87.0;585.0;236.0;953.0;603.0
368.0;0;474.0;72.0;302.0;308.0;531.0
318.0;89.0;689.0;598.0;777.0;310.0;375.0
522.0;704.0;848.0;764.0;577.0;550.0;184.0
348.0;0;34.0;509.0;647.0;113.0;887.0
773.0;0;335.0;321.0;585.0;983.0;32.0
608.0;0;252.0;485.0;34.0;117.0;259.0
512.0;843.0;236.0;183.0;492.0;952.0;699.0
461.0;82.0;505.0;593.0;270.0;377.0;694.0
182.0;0;339.0;238.0;687.0;669.0;716.0
290.0;0;511.0;208.0;242.0;838.0;632.0
775.0;0;946.0;805.0;924.0;191.0;943.0
544.0;0;574.0;997.0;283.0;508.0;886.0
39.0;0;391.0;292.0;737.0;336.0;762.0
364.0;0;943.0;541.0;943.0;110.0;277.0
772.0;973.0;222.0;660.0;71.0;399.0;495.0
694.0;851.0;98.0;358.0;648.0;882.0;336.0
39.0;0;92.0;178.0;258.0;441.0;117.0
21.0;0;934.0;400.0;916.0;255.0;3.0
86.0;138.0;296.0;302.0;380.0;84.0;245.0
259.0;86.0;141.0;830.0;182.0;606.0;632.0
943.0;0;392.0;438.0;617.0;243.0;687.0
182.0;0;979.0;510.0;436.0;5.0;544.0
352.0;160.0;329.0;190.0;467.0;451.0;486.0
172.0;195.0;813.0;138.0;609.0;667.0;765.0
10.0;0;240.0;40.0;168.0;201.0;948.0
122.0;0;374.0;433.0;59.0;497.0;783.0
140.0;563.0;574.0;165.0;92.0;459.0;186.0
890.0;838.0;957.0;248.0;543.0;485.0;103.0
546.0;852.0;732.0;96.0;638.0;840.0;230.0
76.0;369.0;177.0;554.0;517.0;915.0;100.0
235.0;659.0;88.0;442.0;874.0;119.0;526.0
368.0;594.0;147.0;773.0;164.0;24.0;294.0
125.0;575.0;726.0;875.0;426.0;7.0;5.0
578.0;271.0;251.0;175.0;641.0;218.0;829.0
470.0;312.0;973.0;261.0;489.0;510.0;72.0
34.0;44.0;900.0;515.0;163.0;322.0;78.0
504.0;578.0;62.0;21.0;565.0;442.0;315.0
196.0;476.0;211.0;952.0;371.0;422.0;596.0
877.0;0;592.0;340.0;622.0;213.0;534.0
757.0;958.0;626.0;138.0;42.0;496.0;896.0
766.0;6.0;169.0;274.0;789.0;2.0;937.0
