BillingInfoNode;DeliveryAddressNode;ProcessReservationNode;SelectModeOfReciptNode;PaymentInfoNode;ProcessPaymentNode;TravelInfoNode
154.0;828.0;945.0;378.0;58.0;580.0;863.0
157.0;572.0;361.0;25.0;315.0;800.0;922.0
500.0;718.0;306.0;458.0;345.0;486.0;669.0
546.0;613.0;153.0;609.0;680.0;641.0;845.0
572.0;n/a;237.0;198.0;683.0;681.0;720.0
598.0;11.0;49.0;755.0;888.0;808.0;696.0
962.0;n/a;930.0;51.0;494.0;794.0;624.0
408.0;n/a;887.0;691.0;474.0;774.0;475.0
657.0;n/a;73.0;781.0;899.0;298.0;195.0
781.0;n/a;301.0;549.0;149.0;802.0;545.0
994.0;n/a;675.0;106.0;523.0;273.0;590.0
525.0;450.0;535.0;859.0;361.0;353.0;864.0
260.0;n/a;683.0;65.0;412.0;93.0;371.0
863.0;n/a;99.0;408.0;609.0;926.0;73.0
527.0;802.0;608.0;18.0;455.0;393.0;251.0
110.0;n/a;296.0;600.0;42.0;365.0;533.0
711.0;n/a;175.0;346.0;534.0;220.0;273.0
731.0;448.0;902.0;146.0;771.0;589.0;182.0
282.0;152.0;716.0;921.0;87.0;381.0;550.0
493.0;n/a;980.0;119.0;838.0;927.0;749.0
484.0;606.0;844.0;319.0;946.0;715.0;619.0
170.0;n/a;493.0;168.0;873.0;771.0;564.0
187.0;n/a;314.0;879.0;653.0;975.0;171.0
789.0;721.0;41.0;416.0;702.0;381.0;838.0
255.0;496.0;581.0;101.0;981.0;427.0;446.0
512.0;529.0;305.0;600.0;25.0;226.0;419.0
332.0;538.0;688.0;230.0;880.0;646.0;105.0
805.0;96.0;446.0;351.0;809.0;465.0;559.0
882.0;454.0;238.0;491.0;302.0;337.0;124.0
871.0;n/a;515.0;956.0;498.0;588.0;95.0
296.0;650.0;593.0;948.0;939.0;743.0;132.0
304.0;n/a;757.0;777.0;85.0;387.0;925.0
845.0;n/a;832.0;455.0;925.0;238.0;766.0
306.0;816.0;27.0;353.0;93.0;686.0;433.0
767.0;549.0;624.0;189.0;573.0;856.0;138.0
246.0;135.0;429.0;946.0;117.0;525.0;688.0
175.0;291.0;650.0;507.0;118.0;568.0;657.0
93.0;31.0;97.0;223.0;915.0;311.0;324.0
230.0;n/a;436.0;189.0;701.0;941.0;250.0
152.0;n/a;10.0;689.0;571.0;714.0;914.0
75.0;249.0;52.0;840.0;781.0;972.0;695.0
447.0;690.0;561.0;143.0;523.0;883.0;570.0
561.0;590.0;440.0;92.0;517.0;762.0;29.0
310.0;104.0;131.0;564.0;163.0;726.0;374.0
618.0;n/a;274.0;323.0;642.0;432.0;793.0
589.0;477.0;163.0;723.0;660.0;344.0;560.0
321.0;989.0;982.0;863.0;546.0;827.0;955.0
467.0;28.0;462.0;922.0;983.0;506.0;557.0
347.0;780.0;654.0;285.0;370.0;276.0;633.0
267.0;135.0;728.0;506.0;134.0;948.0;479.0
419.0;748.0;375.0;599.0;614.0;491.0;405.0
818.0;382.0;941.0;893.0;124.0;360.0;357.0
251.0;969.0;28.0;271.0;546.0;468.0;313.0
857.0;619.0;47.0;79.0;992.0;565.0;693.0
127.0;n/a;665.0;514.0;462.0;539.0;732.0
848.0;n/a;785.0;439.0;564.0;996.0;604.0
371.0;n/a;535.0;937.0;894.0;750.0;656.0
155.0;n/a;351.0;276.0;693.0;394.0;360.0
239.0;942.0;613.0;712.0;301.0;778.0;686.0
639.0;413.0;723.0;100.0;508.0;98.0;633.0
44.0;900.0;492.0;598.0;867.0;7.0;722.0
861.0;537.0;280.0;866.0;183.0;54.0;951.0
293.0;n/a;976.0;103.0;157.0;813.0;225.0
334.0;248.0;736.0;606.0;980.0;76.0;955.0
988.0;907.0;829.0;546.0;820.0;125.0;190.0
200.0;n/a;599.0;893.0;617.0;42.0;822.0
858.0;52.0;532.0;615.0;61.0;55.0;27.0
865.0;n/a;948.0;106.0;98.0;352.0;684.0
86.0;n/a;340.0;820.0;157.0;789.0;754.0
926.0;n/a;1.0;443.0;856.0;302.0;184.0
556.0;n/a;266.0;710.0;155.0;708.0;834.0
632.0;382.0;971.0;790.0;322.0;711.0;478.0
599.0;226.0;189.0;839.0;538.0;345.0;531.0
296.0;n/a;781.0;83.0;612.0;331.0;387.0
561.0;745.0;401.0;258.0;279.0;619.0;421.0
794.0;928.0;936.0;263.0;892.0;130.0;824.0
199.0;410.0;305.0;657.0;647.0;267.0;759.0
13.0;200.0;183.0;686.0;9.0;797.0;276.0
940.0;n/a;916.0;956.0;660.0;10.0;38.0
883.0;785.0;425.0;944.0;122.0;780.0;920.0
160.0;121.0;56.0;632.0;305.0;64.0;464.0
553.0;83.0;707.0;773.0;445.0;678.0;758.0
895.0;n/a;961.0;976.0;246.0;509.0;756.0
423.0;n/a;689.0;489.0;887.0;769.0;906.0
456.0;n/a;71.0;993.0;927.0;548.0;235.0
285.0;n/a;531.0;888.0;611.0;996.0;819.0
527.0;334.0;775.0;218.0;141.0;679.0;493.0
238.0;n/a;767.0;732.0;381.0;125.0;379.0
522.0;847.0;666.0;826.0;125.0;760.0;803.0
825.0;259.0;162.0;191.0;750.0;523.0;961.0
742.0;n/a;392.0;12.0;160.0;64.0;68.0
542.0;876.0;827.0;218.0;285.0;397.0;821.0
915.0;n/a;942.0;444.0;983.0;485.0;221.0
161.0;n/a;84.0;824.0;822.0;91.0;819.0
858.0;174.0;150.0;163.0;731.0;141.0;333.0
639.0;492.0;66.0;64.0;379.0;501.0;227.0
132.0;776.0;550.0;258.0;567.0;564.0;719.0
12.0;254.0;200.0;994.0;20.0;697.0;532.0
30.0;n/a;401.0;73.0;432.0;183.0;190.0
672.0;286.0;61.0;112.0;273.0;672.0;183.0
847.0;99.0;279.0;33.0;265.0;276.0;586.0
366.0;891.0;627.0;587.0;748.0;133.0;912.0
225.0;35.0;992.0;72.0;58.0;327.0;300.0
985.0;n/a;534.0;341.0;428.0;894.0;703.0
